Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u	L­u	L­u	L­u	L­u	L­u	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)	
Ph¶n-ThiÕu L©m §ao Ph¸p	2	6	264	1	1	1	264		22									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Néi ngo¹i c«ng ph¶n s¸t th­¬ng <color=Gold>10%<color=White>, thi triÓn Tr¶m Ma §ao Ph¸p cã <color=Gold>10%<color=White> tû lÖ ¸p chÕ kÎ thï 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Ph¸-ThiÕu L©m §ao Ph¸p	2	6	265	1	1	1	265		22									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>TÊn c«ng ngo¹i t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Hãa-Nhiªn Méc §ao Ph¸p	2	6	266	1	1	1	266		27									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Tû lÖ xua tan t¨ng 10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Phong-Nhiªn Méc §ao Ph¸p	2	6	267	1	1	1	267		27									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Cã <color=Gold>10%<color=White> khiÕn kÎ thï bŞ ¸p chÕ 3 giÊy		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Ph¸-§µ L«i Ph¸	2	6	268	1	1	1	268		51									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Cã <color=Gold>80%<color=White> tû lÖ khiÕn néi kİch b¶n th©n t¨ng <color=Gold>20%<color=White>, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
TÊn-S­ Tö Hèng	2	6	269	1	1	1	269		54									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Rót ng¾n gi·n c¸ch sö dông vâ c«ng <color=Gold>10<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Ngù-ThiÕu L©m Tu T©m Ph¸p	2	6	270	1	1	1	270		47									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Tû lÖ néi lùc triÖt tiªu s¸t th­¬ng t¨ng <color=Gold>15%		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
TÊn-ThiÕu L©m Tu T©m Ph¸p	2	6	271	1	1	1	271		47									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Tèc ®é xuÊt chiªu Phôc Hæ Khİ K×nh, §µ L«i Ph¸, Cµ Sa Phôc Ma thÇn c«ng, §¹i Lùc Kim Cang ChØ, S­ Tö Hèng t¨ng <color=Gold>50%		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Ph¸-Cµ Sa Phôc Ma ThÇn C«ng	2	6	272	1	1	1	272		52									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>XuÊt chiªu xong néi kİch t¨ng <color=Gold>10%<color=White>, duy tr× <color=Gold>10<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
§Şnh-BÊt §éng Minh V­¬ng Chó	2	6	273	1	1	1	273		55									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Thêi gian ®Şnh th©n t¨ng 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
TÊn-V« ¶nh C­íc	2	6	274	1	1	1	274		42									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Sau khi dïng kı n¨ng cã <color=Gold>50%<color=White> tû lÖ phôc håi 1 « né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
TÊn-V¨n Thï XuÊt V©n Thèi	2	6	275	1	1	1	275		39									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Tû lÖ néi ngo¹i phßng cña b¶n th©n gi¶m <color=Gold>5%<color=White>, sau khi dïng kı n¨ng cã <color=Gold>60%<color=White> tû lÖ håi phôc 2 « Né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
TÊn-Ca DiÖp Thèi	2	6	276	1	1	1	276		36									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Sau khi dïng kı n¨ng cã <color=Gold>100%<color=White> tû lÖ phôc håi 1 « né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
TÊn-ThiÕu L©m Long Tr¶o Thñ	2	6	277	1	1	1	277		43									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Gi·n c¸ch sö dông vâ c«ng rót ng¾n <color=Gold>15<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
TÊn-ThÊt B¶o ChiÕu Ph¸p	2	6	278	1	1	1	278		34									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Mçi lÇn tô khİ håi phôc 1 « né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Ng­ng-§¹i Tu Di Ch­ëng	2	6	279	1	1	1	279		41									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Ng­ng-Truy T©m TiÔn	2	6	280	1	1	1	280		65									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Ph¸-T©m Nh·n	2	6	281	1	1	1	281		60									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Truy T©m TiÔn cã <color=Gold>10%<color=White> tû lÖ kÌm hiÖu qu¶ Tróng §éc, khiÕn kÎ ®Şch mçi gi©y chŞu <color=Gold>5000<color=White> s¸t th­¬ng, duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
TriÓn-T©m Nh·n	2	6	282	1	1	1	282		60									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>T¨ng ph¹m vi hiÖu qu¶ kü n¨ng §o¹t Ph¸ch Phiªn <color=Gold>4<color=White> «		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
TriÒn-M·n Thiªn Hoa Vò	2	6	283	1	1	1	283		73									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Cã <color=Gold>5%<color=White> tû lÖ khiÕn môc tiªu gi¶m tèc <color=Gold>30%<color=White>, duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Ng­ng-B¹o Vò Lª Hoa Ch©m	2	6	284	1	1	1	284		70									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>XuÊt chiªu xong cã <color=Gold>50%<color=White> tû lÖ t¨ng tèc ®é thiÕt lËp tÊt c¶ BÉy, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Miªn-B¹o Vò Lª Hoa Ch©m	2	6	285	1	1	1	285		70									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Chiªu 3 cã <color=Gold>50%<color=White> tû lÖ khiÕn môc tiªu ngñ 2 gi©y, cã <color=Gold>50%<color=White> tû lÖ chŞu s¸t th­¬ng kh«ng tØnh l¹i		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Ng­ng-Ngäc N÷ KiÕm Ph¸p	2	6	286	1	1	1	286		78									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Sinh-Phæ TÕ Chóng Sinh	2	6	287	1	1	1	287		84									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Cã <color=Gold>10%<color=White> tû lÖ môc tiªu lËp tøc håi phôc <color=Gold>5%<color=White> sinh lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Hãa-PhËt Quang Phæ ChiÕu	2	6	288	1	1	1	288		80									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>KhiÕn toµn bé thuéc tİnh cña phe ta trong vßng hµo quanh t¨ng <color=Gold>50		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Sinh-Nga My PhËt ı	2	6	289	1	1	1	289		77									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>HiÖu qu¶ håi sinh lùc cña Phæ TÕ Chóng Sinh t¨ng <color=Gold>25%<color=White>, gi·n c¸ch sö dông t¨ng 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Tinh-Nga My PhËt ı	2	6	290	1	1	1	290		77									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Quan ¢m QuyÕt, Phæ TÕ Chóng Sinh cã <color=Gold>20%<color=White> tû lÖ gióp môc tiªu håi phôc 1% néi lùc mçi nöa gi©y, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Hãa-Nga My PhËt ı	2	6	291	1	1	1	291		77									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Thêi gian tÊt c¶ hiÖu qu¶ kü n¨ng hç trî chİnh diÖn t¨ng <color=Gold>50%		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Ng­ng-NguyÖt Thùc khóc	2	6	292	1	1	1	292		93									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
TriÓn-D­¬ng Quan Tam §iÖp	2	6	293	1	1	1	293		97									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Ph¹m vi hiÖu qu¶ §µn t¨ng <color=Gold>13<color=White>, khi §µn bŞ gi¸n ®o¹n cã <color=Gold>50%<color=White> tû lÖ khiÕn kÎ tÊn c«ng gi¶m 5% néi lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
Kú-Tïy ı Khóc	2	6	294	1	1	1	294		91									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Cã <color=Gold>10%<color=White> tû lÖ t¨ng 1 hiÖu qu¶ xÊu cho kÎ thï		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
TriÓn-Mª T©m Phiªu H­¬ng Khóc	2	6	295	1	1	1	295		101									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Ph¹m vi sö dông ®µn t¨ng <color=Gold>3<color=White> «		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
TriÓn-TÜnh D¹ T­	2	6	296	1	1	1	296		95									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Ph¹m vi hiÖu qu¶ §µn t¨ng <color=Gold>13<color=White>, khi §µn bŞ gi¸n ®o¹n cã <color=Gold>50%<color=White> tû lÖ khiÕn kÎ tÊn c«ng gi¶m 5% néi lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
TÊn-Phóc Thñy T©m Ph¸p	2	6	297	1	1	1	297		98									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Gi·n c¸ch sö dông vâ c«ng rót ng¾n <color=Gold>5<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
Ph¸-Tóy §iÖp	2	6	298	1	1	1	298		111									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Gi¶m 1% sinh lùc sÏ t¨ng 0.6% lùc c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
§Şnh-Tóy §iÖp	2	6	299	1	1	1	299		111									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>KhiÕn tÊt c¶ tÊn c«ng ®Òu cã <color=Gold>10%<color=White> tû lÖ g©y cho¸ng 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
TÊn-Th«ng Tı QuyÒn	2	6	300	1	1	1	300		105									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Khi kİch ho¹t Th«ng Tı QuyÒn Ph¸p cã <color=Gold>5%<color=White> gióp b¶n th©n dïng vâ c«ng kh«ng cã gi·n c¸ch trong 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Ng­ng-Lôc Hîp QuyÒn Ph¸p	2	6	301	1	1	1	301		110									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Ph¸-C¸i Bang Ch­ëng Ph¸p	2	6	302	1	1	1	302		104									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>§¸nh ngo¹i c«ng t¨ng <color=Gold>5%		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
§Şnh-C¸i Bang Ch­ëng Ph¸p	2	6	303	1	1	1	303		104									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Thêi gian hiÖu qu¶ Táa HÇu CÇm N· Thñ t¨ng <color=Gold>20%		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
TriÓn-Khu Xµ C«n Ph¸p	2	6	304	1	1	1	304		116									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Kho¶ng c¸ch xuÊt chiªu t¨ng <color=Gold>50%		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
ChuyÓn-DiÖu Thñ QuyÕt	2	6	305	1	1	1	305		119									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Trém lùc c«ng kÎ thï, khiÕn tÊn c«ng ngo¹i c«ng kÎ thï gi¶m <color=Gold>10%<color=White>, tÊn c«ng ngo¹i c«ng b¶n th©n t¨ng <color=Gold>10%<color=White>, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
