Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ThÊt Tinh ThÊu Cèt Ch©m	0	1	50	100	7254	0	210	0	100;200		1	80		58				\image\item\weapon\wea_dar_011a1.spr	\image\item\weapon\wea_dar_011a0.spr	Nh©n ch©m do ThÊt X¶o Tiªn §ång chÕ t¹o, ng­êi tróng ph¶i khã mµ sèng sãt	°µÆ÷	¸m khİ		6	0	0		0					
ThÊt S¸t Thiªn La	0	1	51	110	9706	0	230	0	114;228		1	80		59				\image\item\weapon\wea_dar_012a1.spr	\image\item\weapon\wea_dar_012a0.spr	Chi b¶o Ma gi¸o, trong cã chøa Phäc Hån Vâng, B¹ch Hæ Vô, Hång Ng­, §éc Ch©m, Thiªn L«i, §Şa Háa	°µÆ÷	¸m khİ		6	0	0		0					
Thiªn ngo¹i phi tiªn	0	1	52	120	13295	0	250	0	133;267		1	80		75				\image\item\weapon\wea_dar_013a1.spr	\image\item\weapon\wea_dar_013a0.spr	Chi b¶o §­êng M«n, phãng ra nh­ ngµn ng«i sao bay xuèng	°µÆ÷	¸m khİ		7	0	0		0					
M·n Thiªn Hoa Vò	0	1	53	130	18000	0	290	0	140;280		1	80		76				\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	Mïi h­¬ng thoang tho¶ng khiÕn lßng ng­êi thanh th¶n quªn ®i bao nçi muén phiÒn, cùc kú quı hiÕm, chØ xuÊt hiÖn ë vïng Miªu C­¬ng.	°µÆ÷	¸m khİ		8	0	0		0					
Khoa Phô	0	1	54	130	18000	0	290	0	146;292		1	80		86				\image\item\weapon\wea_dar_015a1.spr	\image\item\weapon\wea_dar_015a0.spr	¸m khİ cÊp phÈm, ®· mÊt dÊu trªn giang hå tõ l©u, nã lµ sù m¬ ­íc cña §­êng M«n, nhanh nh­ chíp, khiÕn ®èi thñ khã ®èi phã.	°µÆ÷	¸m khİ		9	0	0		0					
Kh«ng cã	0	1	55	130	18000	0	290	0	152;305		1	80		96				\image\item\weapon\wea_dar_016a1.spr	\image\item\weapon\wea_dar_016a0.spr	ChØ nghe nãi trong qu©n lİnh, kh«ng ai thÊy qua. Nghe nãi vËt nµy kh«ng cã ©m thanh, h×nh ¶nh, hay bÊt cø vÕt tİch g× c¶. SÏ ph¸t huy hiÖu qu¶ cùc ®é khi sö dông, v« cïng chİnh x¸c.	°µÆ÷	¸m khİ		10	0	0		0					
Giíi §ao	0	3	53	30	276	0	70	0	20;40		1	100		10			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_003a1.spr	\image\item\weapon\wea_bla_003a0.spr	PhËt m«n t¨ng nh©n v©n du th­êng ®em theo bªn m×nh, chØ ®Ó phßng thñ kh«ng thÓ s¸t sinh.	µ¥µ¶1c	§¬n ®ao		2	0	0		0					
ChiÕt ThiÕt ®ao	0	3	54	45	663	0	95	0	30;60		1	100		16			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_004a1.spr	\image\item\weapon\wea_bla_004a0.spr	Quan tuÇn phñ th­êng sö dông	µ¥µ¶2a	§¬n ®ao		2	0	0		0					
LiÖt DiÖm ®ao	0	3	55	60	880	0	120	0	43;87		1	100		22			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_005a1.spr	\image\item\weapon\wea_bla_005a0.spr	§­îc tİch tô löa ©m d­¬ng cã thÓ thiªu ch¸y ®èi ph­¬ng.	µ¥µ¶2b	§¬n ®ao		3	0	0		0					
Ngò Hæ §o¹n M«n §ao	0	3	56	75	1116	0	140	0	60;120		1	100		28			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_006a1.spr	\image\item\weapon\wea_bla_006a0.spr	Do mét thî rÌn hä Bµnh ë vïng Ph­¬ng B¾c chÕ t¹o, th©n ®ao cã kh¾c h×nh ngò hæ t­îng tr­ng cho søc m¹nh.	µ¥µ¶3a	§¬n ®ao		3	0	0		0					
Cöu ¢m ®ao	0	3	57	90	1540	0	155	0	79;157		1	100		34			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_007a1.spr	\image\item\weapon\wea_bla_007a0.spr	Lo¹i ®ao th­êng rÊt dÔ mua.	µ¥µ¶3b	§¬n ®ao		4	0	0		0					
Ph¸ S¬n ®ao	0	3	58	105	2329	0	170	0	99;197		1	100		40			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_008a1.spr	\image\item\weapon\wea_bla_008a0.spr	Lo¹i ®ao th­êng rÊt dÔ mua.	µ¥µ¶4a	§¬n ®ao		4	0	0		0					
Nh©n §å ®ao	0	3	59	120	3419	0	190	0	120;240		1	100		46			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_009a1.spr	\image\item\weapon\wea_bla_009a0.spr	T­¬ng truyÒn khi chÕ t¹o ®· nhóng vµo huyÕt mü nh©n, trong ®ao cã Èn chøa linh lùc thÇn bİ.	µ¥µ¶4b	§¬n ®ao		5	0	0		0					
Long L©n	0	3	60	135	5154	0	200	0	143;285		1	100		52			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_010a1.spr	\image\item\weapon\wea_bla_010a0.spr	Ngôy V¨n §Õ_Tµo Phi ®· cho thî rÌn ®óc liªn tôc 100 ngµy míi thµnh, hoa v¨n nh­ vÈy rång, v« cïng s¾c bĞn.	µ¥µ¶5a	§¬n ®ao		5	0	0		0					
B¸ch TŞch	0	3	61	150	7408	0	210	0	167;333		1	100		58			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_011a1.spr	\image\item\weapon\wea_bla_011a0.spr	B¶o ®ao Tµo Th¸o ®· tõng sö dông.	µ¥µ¶5b	§¬n ®ao		6	0	0		0					
Thiªn S¸t	0	3	62	165	9912	0	230	0	192;384		1	100		59			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_012a1.spr	\image\item\weapon\wea_bla_012a0.spr	Mét lo¹i ®ao cæ, ngµn vµng còng kh«ng dÔ mua.	µ¥µ¶6a	§¬n ®ao		6	0	0		0					
B¸ V­¬ng	0	3	63	180	13578	0	250	0	220;440		1	100		75			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_013a1.spr	\image\item\weapon\wea_bla_013a0.spr	Lo¹i ®ao cæ x­a ®­îc lµm b»ng HuyÒn thiÕt v« cïng s¾c bĞn.	µ¥µ¶6b	§¬n ®ao		7	0	0		0					
Cæ §İnh	0	3	64	200	18000	0	270	0	234;468		1	100		76			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_014a1.spr	\image\item\weapon\wea_bla_014a0.spr	N¨m x­a khi T«n Kiªn th¶o ph¹t §æng Tr¸c ®· tõng mang ra trËn.	µ¥µ¶7a	§¬n ®ao		8	0	0		0					
LËu C¶nh	0	3	65	200	18000	0	270	0	243;486		1	100		86			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_015a1.spr	\image\item\weapon\wea_bla_015a0.spr	VËt yªu thİch cña T«n QuyÒn, rÊt máng nh­ng kh«ng cã vËt nµo cã thÓ ph¸ hñy ®­îc. V× kh«ng cã träng l­îng cho nªn nh÷ng ng­êi tÇm th­êng kh«ng thÓ dïng nã ®­îc.	µ¥µ¶7b	§¬n ®ao		9	0	0		0					
NghŞch L©n	0	3	66	200	18000	0	270	0	252;505		1	100		96			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_016a1.spr	\image\item\weapon\wea_bla_016a0.spr	§Èu khİ xung thiªn, lùc m¹nh d÷ déi	µ¥µ¶8a	§¬n ®ao		10	0	0		0					
Ngäc VËn cÇm	0	10	64	30	278	0	70	1	13;27	17;33	1	90		10			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_003a1.spr	\image\item\weapon\wea_qin_003a0.spr	Ng­êi ch­a tu luyÖn ®ñ 10 n¨m kh«ng ®ñ linh lùc ®Ó kh¶y ®µn.	ÇÙ1b	CÇm		2	0	0		0					
Kinh §µo cÇm	0	10	65	40	670	0	95	1	21;43	26;52	1	90		16			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_004a1.spr	\image\item\weapon\wea_qin_004a0.spr	Do mét thî rÌn v« danh chÕ t¹o.	ÇÙ2a	CÇm		2	0	0		0					
B«n L«i cÇm	0	10	66	50	890	0	120	1	31;63	38;76	1	90		22			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_005a1.spr	\image\item\weapon\wea_qin_005a0.spr	L«i TÊn thî rÌn næi tiÕng thêi §­êng chÕ t¹o, ©m thanh trÇm hïng khiÕn ®èi ph­¬ng võa nghe ®· khiÕp sî.	ÇÙ2b	CÇm		3	0	0		0					
Phi Béc Liªn Ch©u	0	10	67	60	1127	0	140	1	43;87	53;105	1	90		28			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_006a1.spr	\image\item\weapon\wea_qin_006a0.spr	Do cao t¨ng Trİ Nh©n chÕ t¹o, tiÕng ®µn lanh l¶nh nh­ h¹t m­a vµng gieo trªn lµn n­íc b¹c, xua ®i bao næi muén phiÒn trong lßng ng­êi.	ÇÙ3a	CÇm		3	0	0		0					
L«i §éng V¹n VËt	0	10	68	70	1556	0	155	1	57;113	69;137	1	90		34			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_007a1.spr	\image\item\weapon\wea_qin_007a0.spr	§Ö tö Nga My phèi chÕ, ©m s¾c cña ®µn khiÕn cho mäi vËt chÊn ®éng.	ÇÙ3b	CÇm		4	0	0		0					
HuyÒn Nhai Phi Béc	0	10	69	80	2353	0	170	1	71;143	86;172	1	90		40			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_008a1.spr	\image\item\weapon\wea_qin_008a0.spr	Do thî rÌn næi tiÕng thêi §­êng chÕ t¹o, tiÕng ®µn nh­ hæ gÇm khiÕn cho ®èi ph­¬ng mÊt ph­¬ng h­íng nh­ l¹c vµo ma trËn.	ÇÙ4a	CÇm		4	0	0		0					
H¶i NguyÖt Thanh Huy	0	10	70	90	3454	0	190	1	87;175	105;209	1	90		46			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_009a1.spr	\image\item\weapon\wea_qin_009a0.spr	Lôc chØ cÇm ma, chØ dµnh riªng cho cao thñ.	ÇÙ4b	CÇm		5	0	0		0					
Cöu Tiªu Ngäc Béi	0	10	71	100	5207	0	200	1	105;209	125;249	1	90		52			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_010a1.spr	\image\item\weapon\wea_qin_010a0.spr	L«i Tiªu thêi §­êng khi vÒ giµ ®· chÕ t¹o ra, mçi khi ®¸nh lªn ©m thanh ng©n vang khiÕn chim chãc còng ph¶i ngõng hãt ®Ó nghe.	ÇÙ5a	CÇm		5	0	0		0					
HiÖu Chung	0	10	72	110	7486	0	210	1	123;247	146;292	1	90		58			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_011a1.spr	\image\item\weapon\wea_qin_011a0.spr	Mét lo¹i ®µn næi tiÕng thêi Chu, tiÕng vang rÊt xa	ÇÙ5b	CÇm		6	0	0		0					
Lôc Khëi	0	10	73	120	10016	0	230	1	143;287	169;337	1	90		59			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_012a1.spr	\image\item\weapon\wea_qin_012a0.spr	TuyÖt thÕ ®µn cÇm, xa ngµn dÆm vÉn cßn ®inh tai nhøc ãc.	ÇÙ6a	CÇm		6	0	0		0					
Tiªu VÜ	0	10	74	130	13719	0	250	1	167;333	193;387	1	90		75			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_013a1.spr	\image\item\weapon\wea_qin_013a0.spr	Th¸i Ung thêi §«ng H¸n ®· tù tay chÕ t¹o ra tuyÖt thÕ ®µn cÇm, ©m thanh tuyÖt mü.	ÇÙ6b	CÇm		7	0	0		0					
Hi Nh©n CÇm	0	10	75	140	18000	0	290	1	175;350	203;406	1	90		76			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_014a1.spr	\image\item\weapon\wea_qin_014a0.spr	Do M· Hy nh©n chÕ t¹o sau ®ã ®em tÆng cho Ph¹m Träng Yªm.	ÇÙ7a	CÇm		8	0	0		0					
§¹i Th¸nh Di ¢m	0	10	76	140	18000	0	290	1	183;366	212;425	1	90		86			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_015a1.spr	\image\item\weapon\wea_qin_015a0.spr	C©y ®µn do §­êng Tóc T«n Lı Hµnh chÕ t¹o, ©m thanh nghe rÊt s¶ng kho¸i ªm tai, cã søc c«ng ph¸ ®ét ngét	ÇÙ7b	CÇm		9	0	0		0					
Kh« Méc Long Ng©m	0	10	77	140	18000	0	290	1	191;382	222;445	1	90		96			§Ö tö Nga My tôc gia phèi chÕ	\image\item\weapon\wea_qin_016a1.spr	\image\item\weapon\wea_qin_016a0.spr	V« väng, lôi tµn, vµ l¹i håi sinh trë l¹i, tËn h­ëng sù tù do	ÇÙ8a	CÇm		10	0	0		0					
Ph¸n Quan bót	0	9	75	20	281	0	70	0	14;28		1	110		10			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_003a1.spr	\image\item\weapon\wea_bru_003a0.spr	Kú M«n binh khİ, chØ cã cao thñ Vâ L©m míi cã thÓ sö dông.	±Ê1b	Bót		2	0	0		0					
ChiÕt Xung bót	0	9	76	30	677	0	95	0	20;40		1	110		16			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_004a1.spr	\image\item\weapon\wea_bru_004a0.spr	C¸c thİch kh¸ch th­êng sö dông.	±Ê2a	Bót		2	0	0		0					
Xu©n Phong bót	0	9	77	40	899	0	120	0	30;60		1	110		22			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_005a1.spr	\image\item\weapon\wea_bru_005a0.spr	C¸c thİch kh¸ch th­êng sö dông.	±Ê2b	Bót		3	0	0		0					
Kinh L«i bót	0	9	78	50	1139	0	140	0	38;76		1	110		28			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_006a1.spr	\image\item\weapon\wea_bru_006a0.spr	Bót cã 2 ®Çu khi phãng ra xoay theo h×nh ®ång t©m khiÕn cho ®èi ph­¬ng khã bÒ xoay së.	±Ê3a	Bót		3	0	0		0					
V« Håi bót	0	9	79	60	1572	0	155	0	50;100		1	110		34			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_007a1.spr	\image\item\weapon\wea_bru_007a0.spr	Sai nha th­êng sö dông ®Ó mai phôc thİch kh¸ch.	±Ê3b	Bót		4	0	0		0					
Truy NguyÖt bót	0	9	80	70	2377	0	170	0	63;127		1	110		40			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_008a1.spr	\image\item\weapon\wea_bru_008a0.spr	Ngßi bót cong nh­ h×nh l­ìi liÒm cã tÈm kŞch ®éc, nhanh chãng h¹ gôc ®èi ph­¬ng.	±Ê4a	Bót		4	0	0		0					
ThŞ Hån bót	0	9	81	80	3490	0	190	0	78;156		1	110		46			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_009a1.spr	\image\item\weapon\wea_bru_009a0.spr	Ngßi bót cong nh­ h×nh l­ìi liÒm cã tÈm kŞch ®éc, nhanh chãng h¹ gôc ®èi ph­¬ng.	±Ê4b	Bót		5	0	0		0					
Long ThiÖt	0	9	82	90	5261	0	200	0	94;188		1	110		52			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_010a1.spr	\image\item\weapon\wea_bru_010a0.spr	C¸n bót ®­îc lµm b»ng ®ång, ngßi bót ®­îc lµm b»ng thĞp tinh luyÖn cùc kú s¾c nhän.	±Ê5a	Bót		5	0	0		0					
R¨ng sãi	0	9	83	100	7563	0	210	0	111;223		1	110		58			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_011a1.spr	\image\item\weapon\wea_bru_011a0.spr	§­îc xÕp vµo ®Ö nhÊt kú m«n thÇn binh phæ, tuyÖt diÖu v« song. Anh hïng hµo kiÖt ®Òu mong muèn së h÷u.	±Ê5b	Bót		6	0	0		0					
Ph¸ Qu©n	0	9	84	110	10119	0	230	0	130;260		1	110		59			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_012a1.spr	\image\item\weapon\wea_bru_012a0.spr	§­îc xÕp vµo ®Ö nhÊt kú m«n thÇn binh phæ, tuyÖt diÖu v« song. Anh hïng hµo kiÖt ®Òu mong muèn së h÷u.	±Ê6a	Bót		6	0	0		0					
Thiªn C¬	0	9	85	120	13861	0	250	0	150;300		1	110		75			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_013a1.spr	\image\item\weapon\wea_bru_013a0.spr	§­îc xÕp vµo ®Ö nhÊt kú m«n thÇn binh phæ, tuyÖt diÖu v« song. Anh hïng hµo kiÖt ®Òu mong muèn së h÷u.	±Ê6b	Bót		7	0	0		0					
ThÇn Hµnh	0	9	86	130	18000	0	270	0	157;315		1	110		76			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_014a1.spr	\image\item\weapon\wea_bru_014a0.spr	§ßi hái ng­êi dïng ph¶i t©m tŞnh d­ìng t¸nh, míi cã thÓ nhÊc bót.	±Ê7a	Bót		8	0	0		0					
Toan D­	0	9	87	130	18000	0	270	0	165;330		1	110		86			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_015a1.spr	\image\item\weapon\wea_bru_015a0.spr	Di vËt th­îng cæ, bÊt cø ai trong vßng 10 dÆm ®Òu bŞ chÊn ®éng kh«ng cö ®éng ®­îc	±Ê7b	Bót		9	0	0		0					
Th¸i H­	0	9	88	130	18000	0	270	0	172;345		1	110		96			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_016a1.spr	\image\item\weapon\wea_bru_016a0.spr	¶o ¶o thùc thùc	±Ê8a	Bót		10	0	0		0					
Tİch tr­îng	0	8	86	30	290	0	70	0	13;27	22;44	1	86		10			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_003a1.spr	\image\item\weapon\wea_can_003a0.spr	Mét trong nh÷ng vò khİ lu«n mang theo bªn m×nh cña c¸c t¨ng nh©n.	ÎıÕÈ1b	Tİch tr­îng		2	0	0		0					
Ho»ng Ph¸p tr­îng	0	8	87	35	698	0	95	0	21;43	34;68	1	86		16			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_004a1.spr	\image\item\weapon\wea_can_004a0.spr	Th©n tr­îng cã kh¾c 9 con rång, s­ t¨ng th­êng sö dông.	ÎıÕÈ2a	Tİch tr­îng		2	0	0		0					
Tam B¶o tr­îng	0	8	88	40	926	0	120	0	31;63	50;100	1	86		22			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_005a1.spr	\image\item\weapon\wea_can_005a0.spr	PhËt m«n §¹i ®øc Cao t¨ng phèi chÕ, ®Ønh tr­îng cã 3 khuyªn vµng ph¸t ra ©m thanh khiÕn quû ma còng ph¶i khiÕp sî.	ÎıÕÈ2b	Tİch tr­îng		3	0	0		0					
Phôc Ma tr­îng	0	8	89	45	1174	0	140	0	43;87	70;140	1	86		28			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_006a1.spr	\image\item\weapon\wea_can_006a0.spr	PhËt m«n §¹i ®øc Cao t¨ng phèi chÕ, cã thÓ trõ ®­îc tµ ma.	ÎıÕÈ3a	Tİch tr­îng		3	0	0		0					
Phæ §é tr­îng	0	8	90	50	1620	0	155	0	57;113	91;181	1	86		34			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_007a1.spr	\image\item\weapon\wea_can_007a0.spr	Cao thñ Thæ Phån phèi chÕ, ®Ønh tr­îng cã ®iÓm xuyÕt khuyªn b¹c t­îng tr­ng cho sù khoan dung	ÎıÕÈ3b	Tİch tr­îng		4	0	0		0					
NguyÖt Lu©n tr­îng	0	8	91	55	2450	0	170	0	71;143	112;224	1	86		40			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_008a1.spr	\image\item\weapon\wea_can_008a0.spr	Cao thñ Thæ Phån phèi chÕ, ®Ønh tr­îng cã khuyªn b¹c t­îng tr­ng cho chİnh ph¸p.	ÎıÕÈ4a	Tİch tr­îng		4	0	0		0					
Kh«ng Minh tr­îng	0	8	92	60	3597	0	190	0	87;175	134;268	1	86		46			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_009a1.spr	\image\item\weapon\wea_can_009a0.spr	PhËt m«n §¹i ®øc Cao t¨ng phèi chÕ, cã thÓ trõ ®­îc tµ ma.	ÎıÕÈ4b	Tİch tr­îng		5	0	0		0					
B¶o Quang tr­îng	0	8	93	65	5422	0	200	0	105;209	157;313	1	86		52			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_010a1.spr	\image\item\weapon\wea_can_010a0.spr	PhËt m«n §¹i ®øc Cao t¨ng phèi chÕ, cã thÓ trõ ®­îc tµ ma.	ÎıÕÈ5a	Tİch tr­îng		5	0	0		0					
§¹i Tù T¹i Tr­îng	0	8	94	70	7794	0	210	0	123;247	180;360	1	86		58			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_011a1.spr	\image\item\weapon\wea_can_011a0.spr	PhËt m«n §¹i ®øc Cao t¨ng phèi chÕ, cã thÓ trõ ®­îc tµ ma.	ÎıÕÈ5b	Tİch tr­îng		6	0	0		0					
§¹i B¸t Nh· Tr­îng	0	8	95	75	10429	0	230	0	143;287	204;408	1	86		59			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_012a1.spr	\image\item\weapon\wea_can_012a0.spr	ThiÕu L©m b¶o bèi, cã thÓ trõ ®­îc tµ ma ngo¹i ®¹o.	ÎıÕÈ6a	Tİch tr­îng		6	0	0		0					
Thiªn PhËt tr­îng	0	8	96	85	14285	0	250	0	167;333	233;467	1	86		75			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_013a1.spr	\image\item\weapon\wea_can_013a0.spr	Ph¸p tr­îng cña phËt tæ Nh­ Lai	ÎıÕÈ6b	Tİch tr­îng		7	0	0		0					
A La H¸n Tr­îng	0	8	97	100	18000	0	270	0	173;346	241;482	1	86		76			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_014a1.spr	\image\item\weapon\wea_can_014a0.spr	ChØ dµnh cho cho nh÷ng ai tu hµnh ®¾c ®¹o míi cã thÓ sö dông, cã thÓ tr¸nh ®­îc bÖnh tËt hiÓm nguy.	ÎıÕÈ7a	Tİch tr­îng		8	0	0		0					
Môc KiÒn Liªn Tr­îng	0	8	98	100	18000	0	270	0	180;360	249;498	1	86		86			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_015a1.spr	\image\item\weapon\wea_can_015a0.spr	Do thËp ®¹i ®Ö tö phËt ®µ ®Æt tªn, hµm ı lµ \'ThÇn th«ng ®Ö nhÊt\'	ÎıÕÈ7b	Tİch tr­îng		9	0	0		0					
D­îc S­ tr­îng	0	8	99	100	18000	0	270	0	187;374	257;514	1	86		96			§Ö tö ThiÕu L©m thiÒn t«ng phèi chÕ	\image\item\weapon\wea_can_016a1.spr	\image\item\weapon\wea_can_016a0.spr	Cã vËt nµy trong tay, ph¸p lùc sÏ v« biªn, kh«ng sao nãi hÕt	ÎıÕÈ8a	Tİch tr­îng		10	0	0		0					
ThiÕt th­¬ng	0	6	97	20	281	0	70	0	10;30		1	86		10			®Ö tö D­¬ng M«n th­¬ng kş chÕ t¹o.	\image\item\weapon\wea_qan_001a1.spr	\image\item\weapon\wea_qan_001a0.spr	Lo¹i th­¬ng th­êng c¸c binh sÜ th­êng sö dông.	Ç¹1b	Th­¬ng		2	0	0		0					
§iÓm Cang th­¬ng	0	6	98	30	677	0	95	0	15;45		1	95		16			®Ö tö D­¬ng M«n th­¬ng kş chÕ t¹o.	\image\item\weapon\wea_qan_002a1.spr	\image\item\weapon\wea_qan_002a0.spr	Dïng Hµn thiÕt ®Ó chÕ t¹o, binh sÜ ngµy x­a th­êng dïng.	Ç¹2a	Th­¬ng		2	0	0		0					
Lôc L¨ng th­¬ng	0	6	99	40	899	0	120	0	23;68		1	95		22			®Ö tö D­¬ng M«n th­¬ng kş chÕ t¹o.	\image\item\weapon\wea_qan_003a1.spr	\image\item\weapon\wea_qan_003a0.spr	Dïng Hµn thiÕt ®Ó chÕ t¹o, binh sÜ ngµy x­a th­êng dïng.	Ç¹2b	Th­¬ng		3	0	0		0					
C©u Liªm th­¬ng	0	6	100	50	1139	0	140	0	30;90		1	95		28			®Ö tö D­¬ng M«n th­¬ng kş chÕ t¹o.	\image\item\weapon\wea_qan_004a1.spr	\image\item\weapon\wea_qan_004a0.spr	§Çu th­¬ng cã h×nh c©u liªm. Vò khİ s¸t th­¬ng lîi h¹.	Ç¹3a	Th­¬ng		3	0	0		0					
Truy Hån th­¬ng	0	6	101	60	1572	0	155	0	40;120		1	95		34			®Ö tö D­¬ng M«n th­¬ng kş chÕ t¹o.	\image\item\weapon\wea_qan_005a1.spr	\image\item\weapon\wea_qan_005a0.spr	§Çu th­¬ng h×nh nguyÖt, hoa v¨n tinh tÕ, ngµn vµng khã mua.	Ç¹3b	Th­¬ng		4	0	0		0					
Tó Cèt th­¬ng	0	6	102	70	2377	0	170	0	50;150		1	95		40			®Ö tö D­¬ng M«n th­¬ng kş chÕ t¹o.	\image\item\weapon\wea_qan_006a1.spr	\image\item\weapon\wea_qan_006a0.spr	§¹i t­íng qu©n th­êng sö dông	Ç¹4a	Th­¬ng		4	0	0		0					
Xİch NguyÖt th­¬ng	0	6	103	80	3490	0	190	0	60;180		1	95		46			®Ö tö D­¬ng M«n th­¬ng kş chÕ t¹o.	\image\item\weapon\wea_qan_007a1.spr	\image\item\weapon\wea_qan_007a0.spr	Lo¹i vò khİ binh lİnh ngµy x­a th­êng xö dông.	Ç¹4b	Th­¬ng		5	0	0		0					
Ng©n Xµ th­¬ng	0	6	104	90	5261	0	200	0	70;210		1	95		52			®Ö tö D­¬ng M«n th­¬ng kş chÕ t¹o.	\image\item\weapon\wea_qan_008a1.spr	\image\item\weapon\wea_qan_008a0.spr	§­îc chÕ t¹o theo kiÓu d¸ng cña tr­êng cung, cùc kú s¾c nhän.	Ç¹5a	Th­¬ng		5	0	0		0					
