T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	
ChiÕn Lang-§Ñp	0	105	30185	0	0	0	2500							10				\image\item\horse\Õ½ÀÇa1.spr	\image\item\horse\Õ½ÀÇa0.spr	"Th©n lÎ tung hoµnh n¬i ®Êt tuyÕt, mét m×nh gäi tr¨ng ®Ønh giã m©y."	Õ½ÀÇ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Lang-§Ñp	0	105	30186	0	0	0	2500							10				\image\item\horse\°×ÀÇa1.spr	\image\item\horse\°×ÀÇa0.spr	"Th©n lÎ tung hoµnh n¬i ®Êt tuyÕt, mét m×nh gäi tr¨ng ®Ønh giã m©y."	°×ÀÇ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Tª-§Ñp	0	105	30187	0	0	0	2500							10				\image\item\horse\°×Ï¬Å£a1.spr	\image\item\horse\°×Ï¬Å£a0.spr	"Th©n h×nh ®å sé, rÊt cã khİ thÕ."	Ï¬Å£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Hång Quang KiÕm-Rùc Rì	0	105	30188	0	0	0	2500							10				\image\item\horse\·É½£1a1.spr	\image\item\horse\·É½£1a0.spr	"LÊp l¸nh r¸ng hång, vò ®iÖu tiªn sa. (TriÖu håi Hång Quang KiÕm, cã thÓ c­ìi kiÕm bay lªn)"	·É½£1	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Phong S­¬ng KiÕm-Rùc Rì	0	105	30189	0	0	0	2500							10				\image\item\horse\·É½£2a1.spr	\image\item\horse\·É½£2a0.spr	"Giã thæi s­¬ng s¾c l¹nh, s¸ng soi bãng tr¨ng thanh. (TriÖu håi Phong S­¬ng KiÕm, cã thÓ c­ìi kiÕm bay lªn)"	·É½£2	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
T¬ Vµng ƒnh B¹c-§Ñp	0	105	30190	0	0	0	2500							10				\image\item\horse\½ğË¿Òø±»a1.spr	\image\item\horse\½ğË¿Òø±»a0.spr	"MÌo ch¬i tuyÕt tr¾ng, giã vên bãng hoa."	ÃÈÃ¨	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
ThiÕu D­¬ng ThÊt Tinh KiÕm-Rùc Rì	0	105	30191	0	0	0	2500							10				\image\item\other\ÉÙÑôÆßĞÇ½£a1.spr	\image\item\other\ÉÙÑôÆßĞÇ½£a0.spr	"TriÖu håi ThiÕu D­¬ng ThÊt Tinh KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	ÉÙÑôÆßĞÇ½£	M· Bµi	\script\item\yujian.lua	7	2	1		10000	999
V¨n Sö ThÊt Qu©n KiÕm-Rùc Rì	0	105	30192	0	0	0	2500							10				\image\item\other\ÎÄÊ·Æß¾ı½£a1.spr	\image\item\other\ÎÄÊ·Æß¾ı½£a0.spr	"TriÖu håi V¨n Sö ThÊt Qu©n KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	ÎÄÊ·Æß¾ı½£	M· Bµi	\script\item\yujian.lua	7	2	1		10000	999
C«n H­ Ngäc Dao KiÕm-Rùc Rì	0	105	30193	0	0	0	2500							10				\image\item\other\À¥ĞéÓñÑş½£a1.spr	\image\item\other\À¥ĞéÓñÑş½£a0.spr	"TriÖu håi C«n H­ Ngäc Dao KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	À¥ĞéÓñÑş½£	M· Bµi	\script\item\yujian.lua	7	2	1		10000	999
Tiªn Du KiÕm-Rùc Rì	0	105	30194	0	0	0	2500							10				\image\item\other\ÏÉÓÎ½£a1.spr	\image\item\other\ÏÉÓÎ½£a0.spr	"TriÖu håi Tiªn Du KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	ÏÉÓÎ½£	M· Bµi	\script\item\yujian.lua	7	2	1		10000	999
Th¸i Thanh V« TrÇn KiÕm-Rùc Rì	0	105	30195	0	0	0	2500							10				\image\item\other\Ì«ÇåÎŞ³¾½£a1.spr	\image\item\other\Ì«ÇåÎŞ³¾½£a0.spr	"TriÖu håi Th¸i Thanh V« TrÇn KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	Ì«ÇåÎŞ³¾½£	M· Bµi	\script\item\yujian.lua	7	2	1		10000	999
Tö Ngäc Tr­êng Phong-Rùc Rì	0	105	30196	0	0	0	2500							10				\image\item\other\×ÏÓñ³¤·æa1.spr	\image\item\other\×ÏÓñ³¤·æa0.spr	"TriÖu håi Tö Ngäc Tr­êng Phong, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)"	×ÏÓñ³¤·æ	M· Bµi	\script\item\yujian.lua	7	2	1		10000	999
Tiªn H¹t C¸t-§Ñp	0	105	30197	0	0	0	2500							10				\image\item\horse\ÏÉº×1a1.spr	\image\item\horse\ÏÉº×1a0.spr	"T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . §em theo L¹p Mai C¸t T­êng ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn."	¼ªÏéÏÉº×	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Tiªn H¹c T­êng-§Ñp	0	105	30198	0	0	0	2500							10				\image\item\horse\ÏÉº×2a1.spr	\image\item\horse\ÏÉº×2a0.spr	"T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . §em theo khİ C¸t NhuÖ ®Çy ng­êi ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn."	ÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Tiªn H¹c T­êng TuyÕt Ng©n-§Ñp	0	105	30199	0	0	0	2500							10				\image\item\horse\ÏÉº×3a1.spr	\image\item\horse\ÏÉº×3a0.spr	"T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . Th©n kho¸c TuyÕt Ng©n Hµn Gi¸p, kh¾p ng­êi ®Çy C¸t NhuÖ ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn."	Ñ©ÒøÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Tiªn H¹c T­êng Kim Ngäc-§Ñp	0	105	30200	0	0	0	2500							10				\image\item\horse\ÏÉº×4a1.spr	\image\item\horse\ÏÉº×4a0.spr	"T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . Th©n kho¸c Kim Loan B¹ch Ngäc ChiÕn Gi¸p, kh¾p ng­êi ®Çy Khİ C¸t NhuÖ ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn."	½ğÓñÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Thiªn Lı Truy Phong-§Ñp (Tr¾ng)	0	105	30201	0	0	0	2500							10				\image\item\horse\Ç§Àï×··ç£¨°×£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨°×£©a0.spr	"TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi."	Âí27	M· Bµi		7	2	1		10000	999
Gi¸ng V©n Xİch Tiªu KiÕm-Rùc Rì	0	105	30202	0	0	0	2500							10				\image\item\horse\Óù½£×øÆï1a1.spr	\image\item\horse\Óù½£×øÆï1a0.spr	"TriÖu håi Gi¸ng V©n Xİch Tiªu KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh"	ç­ÔÆ³àÏö½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TuyÕt Nghª-§Ñp	0	105	30203	0	0	0	2500							10				\image\item\horse\Ê¨×Ó1a1.spr	\image\item\horse\Ê¨×Ó1a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó."	Ñ©â¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L­u Quang-§Ñp	0	105	30204	0	0	0	2500							10				\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"Ngùa quı T©y Vùc, tèc ®é nh­ chíp giËt."	Âí28a	M· Bµi		7	2	1		50000	999
B¸ch Lé Song Hoa KiÕm	0	105	30205	0	0	0	2500							10				\image\item\horse\Óù½£×øÆï2a1.spr	\image\item\horse\Óù½£×øÆï2a0.spr	"TriÖu håi B¹ch Lé Song Hoa KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh"	°×Â¶Ëª»ª½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L­u Quang-§Ñp (Lôc)	0	105	30206	0	0	0	2500							10				\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"Ngùa quı T©y Vùc, tèc ®é nh­ chíp giËt."	Âí30c	M· Bµi		7	4	1		50000	999
Cöu VÜ Hå (§Ñp)	0	105	30207	0	0	0	2500							10				\image\item\horse\jiuweihu09a1.spr	\image\item\horse\jiuweihu09a0.spr	"Thó quı hiÕm trªn Thanh Kh­u S¬n, h×nh d¹ng gièng con hå ly nh­ng cã chİn c¸i ®u«i."	¾ÅÎ²ºü	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Kim Huy (§Ñp)	0	105	30208	0	0	0	2500							10				\image\item\horse\Âí2a1.spr	\image\item\horse\Âí2a0.spr	"Ngùa quı T©y Vùc, l«ng nh­ ¸nh mÆt trêi."	Âí29a	M· Bµi		7	4	1		50000	999
Thanh S­¬ng-§Ñp (Lôc)	0	105	30209	0	0	0	2500							10				\image\item\horse\Âí1a1.spr	\image\item\horse\Âí1a0.spr	"Ngùa quı T©y Vùc, l«ng nh­ s­¬ng tuyÕt."	Âí28c	M· Bµi		7	4	1		50000	999
ChiÕn M· N÷ Ch©n	0	105	30210	0	0	0	2500							10				\image\item\horse\ma038aa1.spr	\image\item\horse\ma038aa0.spr	"N÷ Ch©n lµ bé téc chuyªn c­ìi ngùa ®i s¨n, rÊt chó träng viÖc ch¨n nu«i ngùa. Hä tõng nhËp gièng ngùa tèt, phèi thµnh ngùa quı b¶n ®Şa."	Å®ÕæÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn M· Liªu Quèc	0	105	30211	0	0	0	2500							10				\image\item\horse\ma038ba1.spr	\image\item\horse\ma038ba0.spr	"Liªu Quèc chiÕm gi÷ mét vïng th¶o nguyªn réng lín ë phİa b¾c Tr­êng Thµnh, phÇn lín chiÕn m· cña Liªu Quèc ®Òu lÊy tõ vïng nµy."	ÁÉ¹úÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn M· T©y H¹	0	105	30212	0	0	0	2500							10				\image\item\horse\ma038ca1.spr	\image\item\horse\ma038ca0.spr	"Vïng th¶o nguyªn T©y H¹ næi tiÕng víi nghÒ du môc, ®Æc biÖt lµ ch¨n nu«i ngùa. Mçi n¨m cã v« sè ngùa tèt tõ ®©y nhËp vµo Trung Nguyªn."	Î÷ÏÄÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
M«ng Thanh	0	105	211	0	0	0	2500							10				\image\item\horse\¶À½ÇÊŞ5a1.spr	\image\item\horse\¶À½ÇÊŞ5a0.spr	"Ph­¬ng b¾c cã thó kháe nh­ ngùa, tªn §µo Tõ."	¶À½ÇÊŞ1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Ngùa B¾c D·	0	105	212	0	0	0	2500							10				\image\item\horse\¶À½ÇÊŞ1a1.spr	\image\item\horse\¶À½ÇÊŞ1a0.spr	"Ph­¬ng b¾c cã thó kháe nh­ ngùa, tªn §µo Tõ."	¶À½ÇÊŞ2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Cung Cung	0	105	213	0	0	0	2500							10				\image\item\horse\¶À½ÇÊŞ2a1.spr	\image\item\horse\¶À½ÇÊŞ2a0.spr	"Ph­¬ng b¾c cã thó kháe nh­ ngùa, tªn ViÕt Cung Cung."	¶À½ÇÊŞ3	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
C¸t L­îng	0	105	214	0	0	0	2500							10				\image\item\horse\¶À½ÇÊŞ3a1.spr	\image\item\horse\¶À½ÇÊŞ3a0.spr	"KhuyÓn Phong Quèc cã v¨n m·, th©n tr¾ng bêm ®á, m¾t nh­ hoµng kim, tªn ViÕt C¸t L­îng."	¶À½ÇÊŞ4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
HuyÒn L©n	0	105	215	0	0	0	2500							10				\image\item\horse\¶À½ÇÊŞ4a1.spr	\image\item\horse\¶À½ÇÊŞ4a0.spr	"Tinh hoa gi÷a ®Êt trêi, th©n ngùa nh­ v¶y rång."	¶À½ÇÊŞ5	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
DŞ NhËt KiÕm	0	105	216	0	0	0	2500							10				\image\item\horse\·É½£3a1.spr	\image\item\horse\·É½£3a0.spr	"Xem th­êng mÊt m¸t, lµm tr¸i ı trêi. (TriÖu håi DŞ NhËt KiÕm, cã thÓ c­ìi kiÕm bay lªn.)"	·É½£3	M· Bµi	\script\item\yujian.lua	10	4	1		50000	999
Bİch L¹c KiÕm	0	105	217	0	0	0	2500							10				\image\item\horse\·É½£4a1.spr	\image\item\horse\·É½£4a0.spr	"Hoµng tuyÒn d­íi kho¶ng trêi v« tËn. (TriÖu håi Bİch L¹c KiÕm, cã thÓ c­ìi kiÕm bay lªn, cã thÓ c­ìi hai ng­êi kh¸c giíi.)"	·É½£4	M· Bµi	\script\item\yujian.lua	10	4	1		50000	999
Phï Quang KiÕm	0	105	218	0	0	0	2500							10				\image\item\horse\·É½£5a1.spr	\image\item\horse\·É½£5a0.spr	"Mµn ®ªm in rÌm cöa, ngµn sao s¸ng trªn cao. (TriÖu håi Phï Quang KiÕm, cã thÓ c­ìi kiÕm bay lªn, cã thÓ c­ìi hai ng­êi kh¸c giíi.)"	·É½£5	M· Bµi	\script\item\yujian.lua	10	4	1		50000	999
C«n H­ KiÕm	0	105	219	0	0	0	2500							10				\image\item\horse\À¥Ğéè¬ÀÅ½£a1.spr	\image\item\horse\À¥Ğéè¬ÀÅ½£a0.spr	"TriÖu håi C«n H­ KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	À¥Ğéè¬ÀÅ½£	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
V¨n Sö KiÕm	0	105	220	0	0	0	2500							10				\image\item\horse\ÎÄÊ·Çíçæ½£a1.spr	\image\item\horse\ÎÄÊ·Çíçæ½£a0.spr	"TriÖu håi V¨n Sö KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	ÎÄÊ·Çíçæ½£	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
Th¸i Thanh KiÕm	0	105	221	0	0	0	2500							10				\image\item\horse\Ì«ÇåÎŞ¹¸½£a1.spr	\image\item\horse\Ì«ÇåÎŞ¹¸½£a0.spr	"TriÖu håi Th¸i Thanh KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	Ì«ÇåÎŞ¹¸½£	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
ThiÕu D­¬ng Thä S¬n Phi KiÕm	0	105	222	0	0	0	2500							10				\image\item\horse\ÉÙÑôÀÅ«\½£a1.spr	\image\item\horse\ÉÙÑôÀÅ«\½£a0.spr	"TriÖu håi ThiÓu D­¬ng KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	ÉÙÑôÀÅ«\½£	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
TuyÕt Lı Tèng Bao	0	105	223	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï01a1.spr	\image\item\horse\Ã¨×øÆï01a0.spr	"Tr¾ng muèt, th©n cã säc vµng, ®Çu ®éi b¸nh bao thŞt lín."	ÃÈÃ¨1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Tó Xu©n CÈm	0	105	224	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï02a1.spr	\image\item\horse\Ã¨×øÆï02a0.spr	"Th©n tr¾ng, ®èm ®en vµng, nghe nãi ®Õn tõ T©y Vùc, lo¹i mÌo cùc phÈm."	ÃÈÃ¨2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
TØnh TuÕ	0	105	225	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï03a1.spr	\image\item\horse\Ã¨×øÆï03a0.spr	"Tõ x­a ®Õn nay, n¨m nµo còng cã, ngô ı nh­ ı c¸t t­êng."	ÃÈÃ¨3	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Ng« Ng­	0	105	226	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï04a1.spr	\image\item\horse\Ã¨×øÆï04a0.spr	"Danh ng«n: C¸ cña ta sÏ lµ cña ta, kh«ng ai giµnh ®­îc. (Kh«ng thÓ c­ìi chung)"	ÃÈÃ¨4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
TÇm Ng­	0	105	227	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï05a1.spr	\image\item\horse\Ã¨×øÆï05a0.spr	"§en mun, thİch c¸, ®êi nµy cã c¸ lµ ®ñ.(Kh«ng thÓ cïng c­ìi ngùa)"	ÃÈÃ¨5	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
MÌo 06	0	105	228	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï06a1.spr	\image\item\horse\Ã¨×øÆï06a0.spr	"Mét thÓ tr¾ng muèt, chñng lo¹i mÌo quı."	ÃÈÃ¨6	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
MÌo 07	0	105	229	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï07a1.spr	\image\item\horse\Ã¨×øÆï07a0.spr	"Mét thÓ tr¾ng muèt, chñng lo¹i mÌo quı."	ÃÈÃ¨7	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Xİch Ngäc Phi LuyÖn	0	105	230	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï08a1.spr	\image\item\horse\Ã¨×øÆï08a0.spr	"Mét thÓ tr¾ng muèt, chñng lo¹i mÌo quı."	ÃÈÃ¨8	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Lan Ch©u V©n Tr¸c	0	105	231	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï09a1.spr	\image\item\horse\Ã¨×øÆï09a0.spr	"Sen në ta l¹i hÑn chung b­íc, rÏ bÌo khÏ b­íc lªn thuyÒn x­a."	ÃÈÃ¨9	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
MÌo 10	0	105	232	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï10a1.spr	\image\item\horse\Ã¨×øÆï10a0.spr	"Mét thÓ tr¾ng muèt, chñng lo¹i mÌo quı."	ÃÈÃ¨10	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
MÌo 11	0	105	233	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï11a1.spr	\image\item\horse\Ã¨×øÆï11a0.spr	"Mét thÓ tr¾ng muèt, chñng lo¹i mÌo quı."	ÃÈÃ¨11	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B×nh Kim Táa	0	105	234	0	0	0	2500							10				\image\item\horse\Ã¨×øÆï12a1.spr	\image\item\horse\Ã¨×øÆï12a0.spr	"Mét thÓ tr¾ng muèt, chñng lo¹i mÌo quı."	ÃÈÃ¨12	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
¤ Kiªn	0	105	235	0	0	0	2500							10				\image\item\horse\ĞÁ³óÅ£1a1.spr	\image\item\horse\ĞÁ³óÅ£1a0.spr	"Chim vÒ tæ nghØ ng¬i, tr©u cµy treo s¸o vµng."	ĞÁ³óÅ£1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Bµo §inh Ng­u	0	105	236	0	0	0	2500							10				\image\item\horse\ĞÁ³óÅ£2a1.spr	\image\item\horse\ĞÁ³óÅ£2a0.spr	"C¬ thÓ to lín, giái v¸c vËt nÆng"	ĞÁ³óÅ£2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Th­ H­¬ng Ng­u	0	105	237	0	0	0	2500							10				\image\item\horse\ĞÁ³óÅ£3a1.spr	\image\item\horse\ĞÁ³óÅ£3a0.spr	"VÕt mùc ®en trªn ®¶o, ai giÌm ra d­íi c©y."	ĞÁ³óÅ£3	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
§µo Tiªn	0	105	238	0	0	0	2500							10				\image\item\horse\ĞÁ³óÅ£4a1.spr	\image\item\horse\ĞÁ³óÅ£4a0.spr	"Ch¨n ngùa nam Hoa S¬n, th¶ bß rõng §µo L©m."	ĞÁ³óÅ£4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¸t B¸ch Ly B¸t	0	105	239	0	0	0	2500							10				\image\item\horse\ĞÁ³óÅ£5a1.spr	\image\item\horse\ĞÁ³óÅ£5a0.spr	Con tr©u tªn B¸t B¸ch Ly Tr¸c.	ĞÁ³óÅ£7	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
Th­îng Thanh KiÕm	0	105	240	0	0	0	2500							10				\image\item\horse\·É½£6a1.spr	\image\item\horse\·É½£6a0.spr	"TriÖu håi Th­îng Thanh KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng, kh«ng thÓ c­ìi chung)<color>"	·É½£6	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
B¨ng Ph¸ch KiÕm	0	105	241	0	0	0	2500							10				\image\item\horse\·É½£7a1.spr	\image\item\horse\·É½£7a0.spr	"TriÖu håi B¨ng Ph¸ch KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng, kh«ng thÓ c­ìi chung)<color>"	·É½£7	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
Thanh Minh KiÕm	0	105	242	0	0	0	2500							10				\image\item\horse\·É½£8a1.spr	\image\item\horse\·É½£8a0.spr	"TriÖu håi Thanh Minh KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng, kh«ng thÓ c­ìi chung)<color>"	·É½£8	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
Th­¬ng L·ng KiÕm	0	105	243	0	0	0	2500							10				\image\item\horse\·É½£9a1.spr	\image\item\horse\·É½£9a0.spr	"TriÖu håi Th­¬ng L·ng KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng, kh«ng thÓ c­ìi chung)<color>"	·É½£9	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
Phi KiÕm 10	0	105	244	0	0	0	2500							10				\image\item\horse\·É½£10a1.spr	\image\item\horse\·É½£10a0.spr	"TriÖu håi ThiÓu D­¬ng KiÕm, cã thÓ c­ìi kiÕm bay lªn <color=yellow>(D¹ng thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	·É½£10	M· Bµi	\script\item\yujian.lua	9	4	1		50000	999
B·o NguyÖt	0	105	245	0	0	0	2500							10				\image\item\horse\±§ÔÂa1.spr	\image\item\horse\±§ÔÂa0.spr	"Ngùa quı cña thiªn tö, tªn gäi lµ B·o NguyÖt."	Âí17	M· Bµi		9	4	1		50000	999
"B·o NguyÖt, ®éc quyÒn D­¬ng M«n"	0	105	246	0	0	0	2500							10			6	\image\item\horse\±§ÔÂa1.spr	\image\item\horse\±§ÔÂa0.spr	"Ngùa quı cña thiªn tö, tªn gäi lµ B·o NguyÖt. (Dµnh riªng cho D­¬ng M«n)"	Âí17	M· Bµi		9	4	1		50000	999
Long T­¬ng	0	105	247	0	0	0	2500							10				\image\item\horse\Áúæøa1.spr	\image\item\horse\Áúæøa0.spr	"Ngùa næi tiÕng dòng m·nh, biÖt hiÖu lµ Long T­¬ng."	Âí15	M· Bµi		9	4	1		50000	999
S­ Tö Th«ng	0	105	248	0	0	0	2500							10				\image\item\horse\Ê¨×Óæõa1.spr	\image\item\horse\Ê¨×Óæõa0.spr	"Ngùa quı cña §¹i UyÓn, cã biÖt hiÖu lµ S­ Tö Th«ng."	Âí16	M· Bµi		9	4	1		50000	999
Xİch Long C©u	0	105	249	0	0	0	2500							10				\image\item\horse\³àÁú¾Ôa1.spr	\image\item\horse\³àÁú¾Ôa0.spr	"Th©n thÓ c­êng tr¸ng, ®éng t¸c nhanh nhÑn, gäi lµ Xİch Long C©u."	Âí18	M· Bµi		9	4	1		50000	999
Long T­¬ng (Dµnh riªng cho D­¬ng M«n)	0	105	250	0	0	0	2500							10			6	\image\item\horse\Áúæøa1.spr	\image\item\horse\Áúæøa0.spr	"Ngùa næi tiÕng dòng m·nh, biÖt hiÖu lµ Long T­¬ng.<color=yellow>(D­¬ng M«n sö dông cã thÓ dïng kü n¨ng)<color>"	Âí15	M· Bµi		9	4	1		50000	999
